date,person_id,person_name,prod_id,prod_name,amount,prod_price,prod_cost,location
10/08/21,2,Katherine Piazza,26,Product 26,20,418,251,Location 29
09/03/21,2,Katherine Piazza,26,Product 26,20,418,251,Location 30
09/11/21,2,Katherine Piazza,14,Product 14,20,251,195,Location 19
05/16/21,2,Katherine Piazza,50,Product 50,20,335,217,Location 80
02/14/21,2,Katherine Piazza,46,Product 46,20,245,198,Location 80
04/22/21,2,Katherine Piazza,1,Product 1,20,337,241,Location 96
05/13/21,2,Katherine Piazza,5,Product 5,20,274,202,Location 34
09/08/21,2,Katherine Piazza,37,Product 37,20,293,258,Location 35
03/18/21,2,Katherine Piazza,41,Product 41,20,297,200,Location 53
06/20/21,2,Katherine Piazza,47,Product 47,20,275,225,Location 13
03/27/21,2,Katherine Piazza,8,Product 8,20,356,212,Location 97
09/13/21,2,Katherine Piazza,30,Product 30,20,389,164,Location 79
09/09/21,2,Katherine Piazza,27,Product 27,20,328,210,Location 95
10/25/21,2,Katherine Piazza,33,Product 33,20,342,194,Location 55
07/17/21,2,Katherine Piazza,25,Product 25,19,201,191,Location 56
11/04/21,3,Stephen Ervin,29,Product 29,20,245,220,Location 21
06/28/21,3,Stephen Ervin,21,Product 21,20,334,187,Location 9
11/25/21,3,Stephen Ervin,28,Product 28,20,260,167,Location 61
06/27/21,3,Stephen Ervin,30,Product 30,20,389,164,Location 49
04/23/21,3,Stephen Ervin,3,Product 3,20,344,178,Location 51
01/09/21,3,Stephen Ervin,35,Product 35,20,247,245,Other
11/27/21,3,Stephen Ervin,29,Product 29,20,245,220,Location 1
10/24/21,3,Stephen Ervin,29,Product 29,20,245,220,Location 72
05/17/21,3,Stephen Ervin,46,Product 46,20,245,198,Location 57
05/07/21,3,Stephen Ervin,21,Product 21,20,334,187,Location 83
03/09/21,3,Stephen Ervin,15,Product 15,20,234,219,Location 41
04/21/21,3,Stephen Ervin,31,Product 31,20,344,258,Location 10
03/06/21,3,Stephen Ervin,35,Product 35,20,247,245,Location 72
06/12/21,3,Stephen Ervin,27,Product 27,20,328,210,Location 41
06/26/21,3,Stephen Ervin,19,Product 19,20,329,160,Location 71
03/17/21,3,Stephen Ervin,6,Product 6,20,351,239,Location 12
09/02/21,3,Stephen Ervin,17,Product 17,20,274,265,Location 38
01/03/21,3,Stephen Ervin,17,Product 17,20,274,265,Location 54
04/16/21,3,Stephen Ervin,20,Product 20,20,279,79,Location 86
10/01/21,3,Stephen Ervin,32,Product 32,20,283,232,Location 11
09/11/21,3,Stephen Ervin,11,Product 11,20,326,173,Location 45
03/18/21,3,Stephen Ervin,11,Product 11,20,326,173,Location 48
05/03/21,3,Stephen Ervin,50,Product 50,20,335,217,Location 74
07/10/21,3,Stephen Ervin,8,Product 8,20,356,212,Location 57
02/20/21,3,Stephen Ervin,17,Product 17,11,274,265,Location 28
11/10/21,6,Franklin Copeland,28,Product 28,2,260,167,Location 42
02/20/21,6,Franklin Copeland,34,Product 34,2,345,196,Location 85
09/21/21,6,Franklin Copeland,4,Product 4,2,305,197,Location 59
03/12/21,6,Franklin Copeland,10,Product 10,2,359,162,Location 3
07/26/21,6,Franklin Copeland,2,Product 2,2,306,256,Location 52
07/10/21,6,Franklin Copeland,22,Product 22,2,265,167,Location 83
05/12/21,6,Franklin Copeland,4,Product 4,2,305,197,Location 53
06/20/21,6,Franklin Copeland,47,Product 47,2,275,225,Location 86
02/26/21,6,Franklin Copeland,31,Product 31,2,344,258,Location 43
09/15/21,6,Franklin Copeland,28,Product 28,2,260,167,Location 84
03/06/21,6,Franklin Copeland,30,Product 30,2,389,164,Location 11
08/24/21,6,Franklin Copeland,33,Product 33,2,342,194,Location 6
04/22/21,6,Franklin Copeland,8,Product 8,2,356,212,Location 96
12/22/21,6,Franklin Copeland,16,Product 16,2,274,204,Location 77
06/13/21,6,Franklin Copeland,15,Product 15,2,234,219,Location 68
12/23/21,6,Franklin Copeland,35,Product 35,2,247,245,Location 47
01/25/21,6,Franklin Copeland,39,Product 39,2,231,212,Location 69
12/17/21,6,Franklin Copeland,9,Product 9,2,365,220,Location 44
03/11/21,6,Franklin Copeland,49,Product 49,2,179,172,Location 60
11/21/21,6,Franklin Copeland,47,Product 47,2,275,225,Location 88
08/19/21,6,Franklin Copeland,42,Product 42,2,299,161,Location 42
08/06/21,6,Franklin Copeland,38,Product 38,2,295,290,Location 50
07/15/21,6,Franklin Copeland,25,Product 25,2,201,191,Location 57
09/05/21,8,Alvin Cloud,32,Product 32,17,283,232,Location 36
10/11/21,8,Alvin Cloud,9,Product 9,17,365,220,Location 27
10/06/21,8,Alvin Cloud,13,Product 13,17,356,145,Location 43
02/15/21,8,Alvin Cloud,35,Product 35,17,247,245,Location 15
05/20/21,8,Alvin Cloud,11,Product 11,17,326,173,Location 62
09/27/21,8,Alvin Cloud,37,Product 37,17,293,258,Location 94
09/16/21,8,Alvin Cloud,14,Product 14,17,251,195,Location 92
02/06/21,8,Alvin Cloud,23,Product 23,17,234,136,Location 58
11/16/21,8,Alvin Cloud,48,Product 48,17,324,186,Location 51
07/21/21,8,Alvin Cloud,18,Product 18,17,309,265,Location 83
01/03/21,8,Alvin Cloud,47,Product 47,17,275,225,Location 39
11/23/21,8,Alvin Cloud,42,Product 42,17,299,161,Location 70
10/22/21,8,Alvin Cloud,2,Product 2,17,306,256,Location 86
09/28/21,8,Alvin Cloud,4,Product 4,17,305,197,Location 5
02/17/21,8,Alvin Cloud,7,Product 7,17,328,219,Location 61
01/09/21,8,Alvin Cloud,43,Product 43,17,198,185,Location 73
01/10/21,8,Alvin Cloud,20,Product 20,17,279,79,Location 39
07/21/21,8,Alvin Cloud,8,Product 8,17,356,212,Location 93
04/17/21,8,Alvin Cloud,13,Product 13,17,356,145,Location 22
03/22/21,8,Alvin Cloud,12,Product 12,17,256,149,Location 53
11/25/21,8,Alvin Cloud,20,Product 20,17,279,79,Location 82
07/12/21,8,Alvin Cloud,2,Product 2,17,306,256,Location 36
04/02/21,8,Alvin Cloud,28,Product 28,12,260,167,Location 33
07/06/21,9,Danielle Mccormick,44,Product 44,15,254,150,Location 4
12/23/21,9,Danielle Mccormick,8,Product 8,15,356,212,Location 87
10/28/21,9,Danielle Mccormick,26,Product 26,15,418,251,Location 46
